name,team,position,games,total_minutes,fgm,fga,ftm,fta,tpm,tpa,reb,ast,stl,blk,to,pts,pf,ppg,rpg,apg,spg,bpg,topg,tpm_pg,mpg,fg_pct,ft_pct,tp_pct,efg_pct
Louis Lesmond,Fordham,G,22,448,30,105,6,13,13,64,52,23,7,3,16,79,19,3.6,2.4,1.0,0.3,0.1,0.7,0.6,20.4,0.2857,0.4615,0.2031,0.3476
Keyshawn Mitchell,VCU,F,17,193,18,45,19,30,5,24,49,9,4,5,9,60,23,3.5,2.9,0.5,0.2,0.3,0.5,0.3,11.4,0.4,0.6333,0.2083,0.4556
Jacob Conner,Dayton,F,24,472,30,78,12,22,13,49,70,31,19,7,16,85,42,3.5,2.9,1.3,0.8,0.3,0.7,0.5,19.7,0.3846,0.5455,0.2653,0.4679
Jax Kerr,Saint Louis,F,14,103,18,47,6,9,5,25,31,4,4,6,6,47,18,3.4,2.2,0.3,0.3,0.4,0.4,0.4,7.4,0.383,0.6667,0.2,0.4362
Damon Strand,La Salle,G,16,189,17,53,7,7,12,39,14,7,7,3,4,53,10,3.3,0.9,0.4,0.4,0.2,0.2,0.8,11.8,0.3208,1.0,0.3077,0.434
Andrew Osasuyi,St. Bonaventure,C,24,263,31,51,13,25,0,0,57,5,13,34,18,75,43,3.1,2.4,0.2,0.5,1.4,0.8,0.0,11.0,0.6078,0.52,,0.6078
Jaylen Robinson,Richmond,F,25,234,31,48,13,29,1,4,37,18,10,5,10,76,42,3.0,1.5,0.7,0.4,0.2,0.4,0.0,9.4,0.6458,0.4483,0.25,0.6562
Dom Aekins,Duquesne,G,14,112,17,40,4,7,4,14,11,10,5,0,9,42,16,3.0,0.8,0.7,0.4,0.0,0.6,0.3,8.0,0.425,0.5714,0.2857,0.475
Jaden Smith,Saint Joseph's,C,25,238,26,51,23,32,1,7,44,6,5,15,19,76,43,3.0,1.8,0.2,0.2,0.6,0.8,0.0,9.5,0.5098,0.7188,0.1429,0.5196
Apostolos Roumoglou,Richmond,G,23,371,27,77,4,6,12,56,76,28,12,11,9,70,19,3.0,3.3,1.2,0.5,0.5,0.4,0.5,16.1,0.3506,0.6667,0.2143,0.4286
Ilia Ermakov,St. Bonaventure,G,9,100,10,22,0,2,6,14,10,11,7,1,11,26,5,2.9,1.1,1.2,0.8,0.1,1.2,0.7,11.1,0.4545,0.0,0.4286,0.5909
"JaQualon ""JQ"" Roberts",Davidson,F,22,284,23,52,17,26,1,9,62,10,14,8,12,64,33,2.9,2.8,0.5,0.6,0.4,0.5,0.0,12.9,0.4423,0.6538,0.1111,0.4519
Daniil Glazkov,Loyola Chicago,G,19,211,18,41,7,13,11,28,39,7,4,0,8,54,20,2.8,2.1,0.4,0.2,0.0,0.4,0.6,11.1,0.439,0.5385,0.3929,0.5732
Achille Lonati,St. Bonaventure,G,23,198,23,64,8,13,11,47,17,14,11,1,10,65,14,2.8,0.7,0.6,0.5,0.0,0.4,0.5,8.6,0.3594,0.6154,0.234,0.4453
Brandon Hall,Duquesne,G,18,259,15,45,8,16,10,24,19,13,16,2,17,48,27,2.7,1.1,0.7,0.9,0.1,0.9,0.6,14.4,0.3333,0.5,0.4167,0.4444
Alexander Richardson,Loyola Chicago,C,23,233,26,45,9,24,0,1,70,16,4,11,11,61,31,2.7,3.0,0.7,0.2,0.5,0.5,0.0,10.1,0.5778,0.375,0.0,0.5778
Jalen Harper,Rhode Island,G,19,213,15,40,10,17,9,26,30,4,2,4,9,49,20,2.6,1.6,0.2,0.1,0.2,0.5,0.5,11.2,0.375,0.5882,0.3462,0.4875
Stas Sivka,George Mason,F,24,272,19,48,11,14,10,32,37,9,3,7,10,59,15,2.5,1.5,0.4,0.1,0.3,0.4,0.4,11.3,0.3958,0.7857,0.3125,0.5
Damone King,Rhode Island,G,22,171,19,47,6,7,7,27,12,4,7,2,6,51,8,2.3,0.5,0.2,0.3,0.1,0.3,0.3,7.8,0.4043,0.8571,0.2593,0.4787
Damon Friery,Dayton,F,11,68,8,21,3,8,6,14,15,1,2,2,2,25,6,2.3,1.4,0.1,0.2,0.2,0.2,0.5,6.2,0.381,0.375,0.4286,0.5238
Ryan Pettis,Fordham,G,6,69,5,17,2,4,1,10,11,11,8,3,2,13,10,2.2,1.8,1.8,1.3,0.5,0.3,0.2,11.5,0.2941,0.5,0.1,0.3235
Kingston Price,Fordham,G,17,142,15,32,0,0,6,18,9,8,3,0,7,36,21,2.1,0.5,0.5,0.2,0.0,0.4,0.4,8.4,0.4688,,0.3333,0.5625
Lazar Milosevic,Duquesne,F,12,90,9,16,5,8,1,5,18,5,3,0,4,24,15,2.0,1.5,0.4,0.2,0.0,0.3,0.1,7.5,0.5625,0.625,0.2,0.5938
